"V1","V3","V4"
"GO:0072345","NAADP-sensitive calcium-release channel activity","GO:0003674","molecular function"
"GO:0055056","D-glucose transmembrane transporter activity","GO:0003674","molecular function"
"GO:0033300","dehydroascorbic acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0008066","glutamate receptor activity","GO:0003674","molecular function"
"GO:0004096","catalase activity","GO:0003674","molecular function"
"GO:0032452","histone demethylase activity","GO:0003674","molecular function"
"GO:0051864","histone demethylase activity (H3-K36 specific)","GO:0003674","molecular function"
"GO:0045182","translation regulator activity","GO:0003674","molecular function"
"GO:0001594","trace-amine receptor activity","GO:0003674","molecular function"
"GO:0032453","histone demethylase activity (H3-K4 specific)","GO:0003674","molecular function"
"GO:0005375","copper ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0034875","caffeine oxidase activity","GO:0003674","molecular function"
"GO:0005391","sodium:potassium-exchanging ATPase activity","GO:0003674","molecular function"
"GO:0019788","NEDD8 transferase activity","GO:0003674","molecular function"
"GO:0042500","aspartic endopeptidase activity, intramembrane cleaving","GO:0003674","molecular function"
"GO:0019767","IgE receptor activity","GO:0003674","molecular function"
"GO:0004945","angiotensin type II receptor activity","GO:0003674","molecular function"
"GO:0019871","sodium channel inhibitor activity","GO:0003674","molecular function"
"GO:0016624","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","GO:0003674","molecular function"
"GO:0022829","wide pore channel activity","GO:0003674","molecular function"
"GO:0055077","gap junction hemi-channel activity","GO:0003674","molecular function"
"GO:0005412","glucose:sodium symporter activity","GO:0003674","molecular function"
"GO:0005548","phospholipid transporter activity","GO:0003674","molecular function"
"GO:0019855","calcium channel inhibitor activity","GO:0003674","molecular function"
"GO:0010856","adenylate cyclase activator activity","GO:0003674","molecular function"
"GO:0017128","phospholipid scramblase activity","GO:0003674","molecular function"
"GO:0046624","sphingolipid transporter activity","GO:0003674","molecular function"
"GO:0030296","protein tyrosine kinase activator activity","GO:0003674","molecular function"
"GO:0033038","bitter taste receptor activity","GO:0003674","molecular function"
"GO:0008508","bile acid:sodium symporter activity","GO:0003674","molecular function"
"GO:0005332","gamma-aminobutyric acid:sodium symporter activity","GO:0003674","molecular function"
"GO:0008294","calcium- and calmodulin-responsive adenylate cyclase activity","GO:0003674","molecular function"
"GO:0001591","dopamine neurotransmitter receptor activity, coupled via Gi/Go","GO:0003674","molecular function"
"GO:0004920","interleukin-10 receptor activity","GO:0003674","molecular function"
"GO:0004128","cytochrome-b5 reductase activity, acting on NAD(P)H","GO:0003674","molecular function"
"GO:0016174","NAD(P)H oxidase activity","GO:0003674","molecular function"
"GO:0038036","sphingosine-1-phosphate receptor activity","GO:0003674","molecular function"
"GO:0019834","phospholipase A2 inhibitor activity","GO:0003674","molecular function"
"GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","GO:0003674","molecular function"
"GO:0016175","superoxide-generating NADPH oxidase activity","GO:0003674","molecular function"
"GO:0015467","G-protein activated inward rectifier potassium channel activity","GO:0003674","molecular function"
"GO:0015321","sodium-dependent phosphate transmembrane transporter activity","GO:0003674","molecular function"
"GO:0005436","sodium:phosphate symporter activity","GO:0003674","molecular function"
"GO:0043734","DNA-N1-methyladenine dioxygenase activity","GO:0003674","molecular function"
"GO:0032451","demethylase activity","GO:0003674","molecular function"
"GO:0005247","voltage-gated chloride channel activity","GO:0003674","molecular function"
"GO:0004466","long-chain-acyl-CoA dehydrogenase activity","GO:0003674","molecular function"
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity","GO:0003674","molecular function"
"GO:0015245","fatty acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0017081","chloride channel regulator activity","GO:0003674","molecular function"
"GO:0005212","structural constituent of eye lens","GO:0003674","molecular function"
"GO:0008308","voltage-gated anion channel activity","GO:0003674","molecular function"
"GO:0005253","anion channel activity","GO:0003674","molecular function"
"GO:0004332","fructose-bisphosphate aldolase activity","GO:0003674","molecular function"
"GO:0060230","lipoprotein lipase activator activity","GO:0003674","molecular function"
"GO:0003923","GPI-anchor transamidase activity","GO:0003674","molecular function"
"GO:0005384","manganese ion transmembrane transporter activity","GO:0003674","molecular function"
"GO:0022890","inorganic cation transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004862","cAMP-dependent protein kinase inhibitor activity","GO:0003674","molecular function"
"GO:0015226","carnitine transmembrane transporter activity","GO:0003674","molecular function"
"GO:0004875","complement receptor activity","GO:0003674","molecular function"
"GO:0055102","lipase inhibitor activity","GO:0003674","molecular function"
"GO:0030550","acetylcholine receptor inhibitor activity","GO:0003674","molecular function"
"GO:0015108","chloride transmembrane transporter activity","GO:0003674","molecular function"
"GO:1990948","ubiquitin ligase inhibitor activity","GO:0003674","molecular function"
"GO:0016668","oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","GO:0003674","molecular function"
"GO:0071558","histone demethylase activity (H3-K27 specific)","GO:0003674","molecular function"
"GO:0070006","metalloaminopeptidase activity","GO:0003674","molecular function"
"GO:0015174","basic amino acid transmembrane transporter activity","GO:0003674","molecular function"
"GO:0098772","molecular function regulator","GO:0003674","molecular function"
"GO:0004826","phenylalanine-tRNA ligase activity","GO:0003674","molecular function"
"GO:0008131","primary amine oxidase activity","GO:0003674","molecular function"
"GO:0004488","methylenetetrahydrofolate dehydrogenase (NADP+) activity","GO:0003674","molecular function"
"GO:0008607","phosphorylase kinase regulator activity","GO:0003674","molecular function"
"GO:0004859","phospholipase inhibitor activity","GO:0003674","molecular function"
"GO:0001691","pseudophosphatase activity","GO:0003674","molecular function"
"GO:0016714","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen","GO:0003674","molecular function"
