	Atlas	cellType	Background.cell.types	Logic	genes	precision	recall	f1
47	TM, FACS	BrainNeurons.oligodendrocyte precursor cell	All	OR	A930003O13Rik, Sox3, Neu4, Lhfpl3, C1ql1	0.231308411214953	0.98019801980198	0.374291115311909
48	TM, FACS	BrainNeurons.oligodendrocyte precursor cell	Tissue	OR	A930003O13Rik, Sox3, Neu4, Lhfpl3, C1ql1	0.587537091988131	0.98019801980198	0.73469387755102
49	TM, FACS	BrainNeurons.unknown	All	AND	Rims1, Kif5a, Cdr1, Unc13c, Gabra6	0.666666666666667	0.0340909090909091	0.0648648648648649
50	TM, FACS	BrainNeurons.unknown	Tissue	AND	Rims1, Kif5a, Cdr1, Unc13c, Gabra6	0.666666666666667	0.0340909090909091	0.0648648648648649
51	TM, FACS	BrainNeurons.unknown	All	OR	Rims1, Kif5a, Cdr1, Unc13c, Gabra6	0.0340566606389391	0.642045454545455	0.0646823125357756
52	TM, FACS	BrainNeurons.unknown	Tissue	OR	Rims1, Kif5a, Cdr1, Unc13c, Gabra6	0.0940882597835137	0.642045454545455	0.164124909222948
53	TM, FACS	Colon.Brush cell of epithelium proper of large intestine	All	AND	Hmx3, Hmx2, Rgs13, Gnat3, Trim38	1	0.111111111111111	0.2
54	TM, FACS	Colon.Brush cell of epithelium proper of large intestine	Tissue	AND	Hmx3, Hmx2, Rgs13, Gnat3, Trim38	1	0.111111111111111	0.2
55	TM, FACS	Colon.Brush cell of epithelium proper of large intestine	All	OR	Hmx3, Hmx2, Rgs13, Gnat3, Trim38	0.119760479041916	0.888888888888889	0.211081794195251
56	TM, FACS	Colon.Brush cell of epithelium proper of large intestine	Tissue	OR	Hmx3, Hmx2, Rgs13, Gnat3, Trim38	0.392156862745098	0.888888888888889	0.54421768707483
57	TM, FACS	Colon.enterocyte of epithelium of large intestine	All	AND	Ceacam20, Ptprh, Prss30, Mep1b, Slc13a2	0.949253731343284	0.406649616368286	0.569382273948075
58	TM, FACS	Colon.enterocyte of epithelium of large intestine	Tissue	AND	Ceacam20, Ptprh, Prss30, Mep1b, Slc13a2	0.949253731343284	0.406649616368286	0.569382273948075
59	TM, FACS	Colon.enterocyte of epithelium of large intestine	All	OR	Ceacam20, Ptprh, Prss30, Mep1b, Slc13a2	0.338138925294889	0.989769820971867	0.504070335395637
60	TM, FACS	Colon.enterocyte of epithelium of large intestine	Tissue	OR	Ceacam20, Ptprh, Prss30, Mep1b, Slc13a2	0.519811954331766	0.989769820971867	0.681638044914135
61	TM, FACS	Colon.epithelial cell of large intestine	All	AND	Cftr, Clca4, Noxa1, Cdx1, Nlrp6	0.903598971722365	0.392080312325711	0.546868922598211
62	TM, FACS	Colon.epithelial cell of large intestine	Tissue	AND	Cftr, Clca4, Noxa1, Cdx1, Nlrp6	0.905927835051546	0.392080312325711	0.547294667185675
63	TM, FACS	Colon.epithelial cell of large intestine	All	OR	Cftr, Clca4, Noxa1, Cdx1, Nlrp6	0.356113627006999	0.964863357501394	0.520222522928883
64	TM, FACS	Colon.epithelial cell of large intestine	Tissue	OR	Cftr, Clca4, Noxa1, Cdx1, Nlrp6	0.522185330516148	0.964863357501394	0.677634155895025
65	TM, FACS	Colon.large intestine goblet cell	All	AND	Tpsg1, Atoh1, Spdef, Gm1123, Anxa13	0.91991341991342	0.522113022113022	0.666144200626959
66	TM, FACS	Colon.large intestine goblet cell	Tissue	AND	Tpsg1, Atoh1, Spdef, Gm1123, Anxa13	0.923913043478261	0.522113022113022	0.667189952904239
67	TM, FACS	Colon.large intestine goblet cell	All	OR	Tpsg1, Atoh1, Spdef, Gm1123, Anxa13	0.340490797546012	0.954545454545455	0.501937984496124
68	TM, FACS	Colon.large intestine goblet cell	Tissue	OR	Tpsg1, Atoh1, Spdef, Gm1123, Anxa13	0.673894189071986	0.954545454545455	0.790035587188612
69	TM, FACS	Fat.B cell	All	AND	Fcer2a, H2-Eb2, Gm8369, Faim3, P2ry10	0.365853658536585	0.087719298245614	0.141509433962264
70	TM, FACS	Fat.B cell	Tissue	AND	Fcer2a, H2-Eb2, Gm8369, Faim3, P2ry10	0.978260869565217	0.087719298245614	0.161001788908766
71	TM, FACS	Fat.B cell	All	OR	Fcer2a, H2-Eb2, Gm8369, Faim3, P2ry10	0.075186846038864	0.980506822612086	0.139664028876857
72	TM, FACS	Fat.B cell	Tissue	OR	Fcer2a, H2-Eb2, Gm8369, Faim3, P2ry10	0.426271186440678	0.980506822612086	0.594211458948612
73	TM, FACS	Fat.endothelial cell	All	AND	C1qtnf9, Aqp7, Tcf15, Rbp7, Btnl9	0.335106382978723	0.213559322033898	0.260869565217391
74	TM, FACS	Fat.endothelial cell	Tissue	AND	C1qtnf9, Aqp7, Tcf15, Rbp7, Btnl9	0.984375	0.213559322033898	0.350974930362117
75	TM, FACS	Fat.endothelial cell	All	OR	C1qtnf9, Aqp7, Tcf15, Rbp7, Btnl9	0.0954100051572976	0.940677966101695	0.173248009989074
76	TM, FACS	Fat.endothelial cell	Tissue	OR	C1qtnf9, Aqp7, Tcf15, Rbp7, Btnl9	0.613938053097345	0.940677966101695	0.742971887550201
77	TM, FACS	Fat.epithelial cell	All	AND	Got1l1, 1700012P22Rik, Dydc2, 1700024G13Rik, Sntn	1	0.0588235294117647	0.111111111111111
78	TM, FACS	Fat.epithelial cell	Tissue	AND	Got1l1, 1700012P22Rik, Dydc2, 1700024G13Rik, Sntn	1	0.0588235294117647	0.111111111111111
79	TM, FACS	Fat.epithelial cell	All	OR	Got1l1, 1700012P22Rik, Dydc2, 1700024G13Rik, Sntn	0.0774647887323944	0.215686274509804	0.113989637305699
80	TM, FACS	Fat.epithelial cell	Tissue	OR	Got1l1, 1700012P22Rik, Dydc2, 1700024G13Rik, Sntn	0.647058823529412	0.215686274509804	0.323529411764706
81	TM, FACS	Fat.granulocyte	All	AND	Cd209g, Ms4a7, Cd209f, Siglec1, Ccl24	0.911111111111111	0.100244498777506	0.180616740088106
82	TM, FACS	Fat.granulocyte	Tissue	AND	Cd209g, Ms4a7, Cd209f, Siglec1, Ccl24	1	0.100244498777506	0.182222222222222
83	TM, FACS	Fat.granulocyte	All	OR	Cd209g, Ms4a7, Cd209f, Siglec1, Ccl24	0.152862701500834	0.672371638141809	0.249094202898551
84	TM, FACS	Fat.granulocyte	Tissue	OR	Cd209g, Ms4a7, Cd209f, Siglec1, Ccl24	0.55668016194332	0.672371638141809	0.609080841638981
85	TM, FACS	Fat.mesenchymal stem cell of adipose	All	AND	Gdf10, Gpr133, Scara5, Ccl11, Ifi205	0.777555110220441	0.403326403326403	0.531143052703628
86	TM, FACS	Fat.mesenchymal stem cell of adipose	Tissue	AND	Gdf10, Gpr133, Scara5, Ccl11, Ifi205	0.998712998712999	0.403326403326403	0.574601999259534
87	TM, FACS	Fat.mesenchymal stem cell of adipose	All	OR	Gdf10, Gpr133, Scara5, Ccl11, Ifi205	0.191728182829406	0.985446985446986	0.32100228561754
88	TM, FACS	Fat.mesenchymal stem cell of adipose	Tissue	OR	Gdf10, Gpr133, Scara5, Ccl11, Ifi205	0.775777414075286	0.985446985446986	0.868131868131868
89	TM, FACS	Fat.myeloid cell	All	AND	Clec4b1, Skint3, Ear1, Ear2, Klri1	0.875	0.0292275574112735	0.0565656565656566
90	TM, FACS	Fat.myeloid cell	Tissue	AND	Clec4b1, Skint3, Ear1, Ear2, Klri1	0.933333333333333	0.0292275574112735	0.0566801619433198
91	TM, FACS	Fat.myeloid cell	All	OR	Clec4b1, Skint3, Ear1, Ear2, Klri1	0.164045898852529	0.805845511482255	0.272598870056497
92	TM, FACS	Fat.myeloid cell	Tissue	OR	Clec4b1, Skint3, Ear1, Ear2, Klri1	0.506561679790026	0.805845511482255	0.622078968573731
93	TM, FACS	Fat.natural killer cell	All	AND	Klra8, Ifng, Ncr1, Klrc2, Klrc1	0.363636363636364	0.0310077519379845	0.0571428571428571
94	TM, FACS	Fat.natural killer cell	Tissue	AND	Klra8, Ifng, Ncr1, Klrc2, Klrc1	1	0.0310077519379845	0.0601503759398496
95	TM, FACS	Fat.natural killer cell	All	OR	Klra8, Ifng, Ncr1, Klrc2, Klrc1	0.136904761904762	0.891472868217054	0.237358101135191
96	TM, FACS	Fat.natural killer cell	Tissue	OR	Klra8, Ifng, Ncr1, Klrc2, Klrc1	0.649717514124294	0.891472868217054	0.751633986928105
97	TM, FACS	Fat.neutrophil	All	AND	Sirpb1a, LOC100038947, Gm9733, Mefv, Sirpb1b	0.625954198473282	0.3710407239819	0.465909090909091
98	TM, FACS	Fat.neutrophil	Tissue	AND	Sirpb1a, LOC100038947, Gm9733, Mefv, Sirpb1b	0.942528735632184	0.3710407239819	0.532467532467533
99	TM, FACS	Fat.neutrophil	All	OR	Sirpb1a, LOC100038947, Gm9733, Mefv, Sirpb1b	0.100478468899522	0.950226244343891	0.181739506707053
100	TM, FACS	Fat.neutrophil	Tissue	OR	Sirpb1a, LOC100038947, Gm9733, Mefv, Sirpb1b	0.372340425531915	0.950226244343891	0.535031847133758
101	TM, FACS	Fat.smooth muscle cell	All	AND	Rergl, Mrgprh, Olfr78, Fhl5, Olfr558	1	0.111111111111111	0.2
102	TM, FACS	Fat.smooth muscle cell	Tissue	AND	Rergl, Mrgprh, Olfr78, Fhl5, Olfr558	1	0.111111111111111	0.2
103	TM, FACS	Fat.smooth muscle cell	All	OR	Rergl, Mrgprh, Olfr78, Fhl5, Olfr558	0.0485611510791367	1	0.0926243567753002
104	TM, FACS	Fat.smooth muscle cell	Tissue	OR	Rergl, Mrgprh, Olfr78, Fhl5, Olfr558	0.54	1	0.701298701298701
105	TM, FACS	Fat.T cell	All	AND	Icos, Itk, Cd3e, Il2rb, Txk	0.322368421052632	0.133879781420765	0.189189189189189
106	TM, FACS	Fat.T cell	Tissue	AND	Icos, Itk, Cd3e, Il2rb, Txk	0.859649122807018	0.133879781420765	0.231678486997636
107	TM, FACS	Fat.T cell	All	OR	Icos, Itk, Cd3e, Il2rb, Txk	0.0848965848965849	0.96448087431694	0.15605658709107
108	TM, FACS	Fat.T cell	Tissue	OR	Icos, Itk, Cd3e, Il2rb, Txk	0.523738872403561	0.96448087431694	0.678846153846154
109	TM, FACS	Heart.cardiac muscle cell	All	AND	D830005E20Rik, 9330158H04Rik, Trim54, Nkx2-5, Dhrs7c	1	0.414285714285714	0.585858585858586
110	TM, FACS	Heart.cardiac muscle cell	Tissue	AND	D830005E20Rik, 9330158H04Rik, Trim54, Nkx2-5, Dhrs7c	1	0.414285714285714	0.585858585858586
111	TM, FACS	Heart.cardiac muscle cell	All	OR	D830005E20Rik, 9330158H04Rik, Trim54, Nkx2-5, Dhrs7c	0.359420289855072	0.885714285714286	0.511340206185567
112	TM, FACS	Heart.cardiac muscle cell	Tissue	OR	D830005E20Rik, 9330158H04Rik, Trim54, Nkx2-5, Dhrs7c	0.527659574468085	0.885714285714286	0.661333333333333
113	TM, FACS	Heart.endocardial cell	All	AND	Sost, H19, Npr3, Colec11, Comp	1	0.0342857142857143	0.0662983425414365
114	TM, FACS	Heart.endocardial cell	Tissue	AND	Sost, H19, Npr3, Colec11, Comp	1	0.0342857142857143	0.0662983425414365
115	TM, FACS	Heart.endocardial cell	All	OR	Sost, H19, Npr3, Colec11, Comp	0.0495049504950495	0.914285714285714	0.0939242735544467
116	TM, FACS	Heart.endocardial cell	Tissue	OR	Sost, H19, Npr3, Colec11, Comp	0.200250312891114	0.914285714285714	0.328542094455852
117	TM, FACS	Heart.endothelial cell	All	AND	C1qtnf9, Tcf15, Kcna5, Aqp7, Btnl9	0.686335403726708	0.174290220820189	0.277987421383648
118	TM, FACS	Heart.endothelial cell	Tissue	AND	C1qtnf9, Tcf15, Kcna5, Aqp7, Btnl9	0.991031390134529	0.174290220820189	0.29644533869886
119	TM, FACS	Heart.endothelial cell	All	OR	C1qtnf9, Tcf15, Kcna5, Aqp7, Btnl9	0.227592592592593	0.969242902208202	0.368626274745051
120	TM, FACS	Heart.endothelial cell	Tissue	OR	C1qtnf9, Tcf15, Kcna5, Aqp7, Btnl9	0.716618075801749	0.969242902208202	0.824002681863895
121	TM, FACS	Heart.fibroblast	All	AND	Tbx20, Tcf21, Gata4, Heyl, Adamtsl2	0.957516339869281	0.140392908481073	0.244880902632679
122	TM, FACS	Heart.fibroblast	Tissue	AND	Tbx20, Tcf21, Gata4, Heyl, Adamtsl2	0.963815789473684	0.140392908481073	0.24508573818486
123	TM, FACS	Heart.fibroblast	All	OR	Tbx20, Tcf21, Gata4, Heyl, Adamtsl2	0.269548719338664	0.953042644944897	0.420240862032538
124	TM, FACS	Heart.fibroblast	Tissue	OR	Tbx20, Tcf21, Gata4, Heyl, Adamtsl2	0.769439071566731	0.953042644944897	0.851455479452055
125	TM, FACS	Heart.leukocyte	All	AND	Ms4a7, Timd4, Msr1, Lilra5, Cd300lh	0.867924528301887	0.0942622950819672	0.170055452865065
126	TM, FACS	Heart.leukocyte	Tissue	AND	Ms4a7, Timd4, Msr1, Lilra5, Cd300lh	0.978723404255319	0.0942622950819672	0.17196261682243
127	TM, FACS	Heart.leukocyte	All	OR	Ms4a7, Timd4, Msr1, Lilra5, Cd300lh	0.134282807731434	0.811475409836066	0.23043351760256
128	TM, FACS	Heart.leukocyte	Tissue	OR	Ms4a7, Timd4, Msr1, Lilra5, Cd300lh	0.796780684104628	0.811475409836066	0.804060913705584
129	TM, FACS	Heart.smooth muscle cell	All	AND	Higd1b, Olfr558, Trpc3, Colec11, Tusc5	1	0.164705882352941	0.282828282828283
130	TM, FACS	Heart.smooth muscle cell	Tissue	AND	Higd1b, Olfr558, Trpc3, Colec11, Tusc5	1	0.164705882352941	0.282828282828283
131	TM, FACS	Heart.smooth muscle cell	All	OR	Higd1b, Olfr558, Trpc3, Colec11, Tusc5	0.11094674556213	0.882352941176471	0.197109067017083
132	TM, FACS	Heart.smooth muscle cell	Tissue	OR	Higd1b, Olfr558, Trpc3, Colec11, Tusc5	0.364667747163695	0.882352941176471	0.51605504587156
133	TM, FACS	Kidney.fenestrated cell	All	AND	3110099E03Rik, Esm1, AU021092, Ifi44, Fam167b	0.666666666666667	0.173913043478261	0.275862068965517
134	TM, FACS	Kidney.fenestrated cell	Tissue	AND	3110099E03Rik, Esm1, AU021092, Ifi44, Fam167b	1	0.173913043478261	0.296296296296296
135	TM, FACS	Kidney.fenestrated cell	All	OR	3110099E03Rik, Esm1, AU021092, Ifi44, Fam167b	0.0152329749103943	0.985507246376812	0.0300022060445621
136	TM, FACS	Kidney.fenestrated cell	Tissue	OR	3110099E03Rik, Esm1, AU021092, Ifi44, Fam167b	0.53125	0.985507246376812	0.690355329949239
137	TM, FACS	Kidney.fibroblast	All	AND	Miox, Slc5a12, Acsm2, Kap, Akr1c21	0.294117647058824	0.0769230769230769	0.121951219512195
138	TM, FACS	Kidney.fibroblast	Tissue	AND	Miox, Slc5a12, Acsm2, Kap, Akr1c21	0.294117647058824	0.0769230769230769	0.121951219512195
139	TM, FACS	Kidney.fibroblast	All	OR	Miox, Slc5a12, Acsm2, Kap, Akr1c21	0.0328467153284672	0.553846153846154	0.062015503875969
140	TM, FACS	Kidney.fibroblast	Tissue	OR	Miox, Slc5a12, Acsm2, Kap, Akr1c21	0.141176470588235	0.553846153846154	0.225
141	TM, FACS	Kidney.kidney collecting duct cell	All	AND	D630042F21Rik, Tmem213, Clcnkb, Kcnj1, Emx1	0.923076923076923	0.272727272727273	0.421052631578947
142	TM, FACS	Kidney.kidney collecting duct cell	Tissue	AND	D630042F21Rik, Tmem213, Clcnkb, Kcnj1, Emx1	1	0.272727272727273	0.428571428571429
143	TM, FACS	Kidney.kidney collecting duct cell	All	OR	D630042F21Rik, Tmem213, Clcnkb, Kcnj1, Emx1	0.0816326530612245	1	0.150943396226415
144	TM, FACS	Kidney.kidney collecting duct cell	Tissue	OR	D630042F21Rik, Tmem213, Clcnkb, Kcnj1, Emx1	0.325925925925926	1	0.491620111731844
145	TM, FACS	Kidney.kidney tubule cell	All	AND	Akr1c21, Miox, Slc22a12, Acsm2, Slc22a6	0.890243902439024	0.279693486590038	0.425655976676385
146	TM, FACS	Kidney.kidney tubule cell	Tissue	AND	Akr1c21, Miox, Slc22a12, Acsm2, Slc22a6	0.890243902439024	0.279693486590038	0.425655976676385
147	TM, FACS	Kidney.kidney tubule cell	All	OR	Akr1c21, Miox, Slc22a12, Acsm2, Slc22a6	0.181102362204724	0.704980842911877	0.288175411119812
148	TM, FACS	Kidney.kidney tubule cell	Tissue	OR	Akr1c21, Miox, Slc22a12, Acsm2, Slc22a6	0.760330578512397	0.704980842911877	0.731610337972167
149	TM, FACS	Liver.endothelial cell of hepatic sinusoid	All	AND	Oit3, Clec1b, Clec4g, Stab2, F8	0.935897435897436	0.744897959183674	0.829545454545455
150	TM, FACS	Liver.endothelial cell of hepatic sinusoid	Tissue	AND	Oit3, Clec1b, Clec4g, Stab2, F8	0.948051948051948	0.744897959183674	0.834285714285714
151	TM, FACS	Liver.endothelial cell of hepatic sinusoid	All	OR	Oit3, Clec1b, Clec4g, Stab2, F8	0.072156862745098	0.938775510204082	0.13401310997815
152	TM, FACS	Liver.endothelial cell of hepatic sinusoid	Tissue	OR	Oit3, Clec1b, Clec4g, Stab2, F8	0.456575682382134	0.938775510204082	0.614357262103506
153	TM, FACS	Liver.hepatocyte	All	AND	Mup17, Mup15, Mup16, Mup12, Uroc1	0.935643564356436	0.473684210526316	0.628951747088186
154	TM, FACS	Liver.hepatocyte	Tissue	AND	Mup17, Mup15, Mup16, Mup12, Uroc1	0.940298507462687	0.473684210526316	0.63
155	TM, FACS	Liver.hepatocyte	All	OR	Mup17, Mup15, Mup16, Mup12, Uroc1	0.570135746606335	0.947368421052632	0.711864406779661
156	TM, FACS	Liver.hepatocyte	Tissue	OR	Mup17, Mup15, Mup16, Mup12, Uroc1	0.779381443298969	0.947368421052632	0.855203619909502
157	TM, FACS	Liver.Kupffer cell	All	AND	Marco, Clec4f, Cd5l, Gbp1, Vsig4	1	0.274509803921569	0.430769230769231
158	TM, FACS	Liver.Kupffer cell	Tissue	AND	Marco, Clec4f, Cd5l, Gbp1, Vsig4	1	0.274509803921569	0.430769230769231
159	TM, FACS	Liver.Kupffer cell	All	OR	Marco, Clec4f, Cd5l, Gbp1, Vsig4	0.0495156081808396	0.901960784313726	0.0938775510204082
160	TM, FACS	Liver.Kupffer cell	Tissue	OR	Marco, Clec4f, Cd5l, Gbp1, Vsig4	0.464646464646465	0.901960784313726	0.613333333333333
161	TM, FACS	Liver.natural killer cell	All	AND	Xcl1, Art2b, Ifng, Cd40lg, Podnl1	1	0.0857142857142857	0.157894736842105
162	TM, FACS	Liver.natural killer cell	Tissue	AND	Xcl1, Art2b, Ifng, Cd40lg, Podnl1	1	0.0857142857142857	0.157894736842105
163	TM, FACS	Liver.natural killer cell	All	OR	Xcl1, Art2b, Ifng, Cd40lg, Podnl1	0.0246268656716418	0.942857142857143	0.048
164	TM, FACS	Liver.natural killer cell	Tissue	OR	Xcl1, Art2b, Ifng, Cd40lg, Podnl1	0.785714285714286	0.942857142857143	0.857142857142857
165	TM, FACS	Lung.ciliated cell	All	AND	1700024G13Rik, Dydc2, Ttc29, Sntn, Zfp474	0.5	0.5	0.5
166	TM, FACS	Lung.ciliated cell	Tissue	AND	1700024G13Rik, Dydc2, Ttc29, Sntn, Zfp474	0.777777777777778	0.5	0.608695652173913
167	TM, FACS	Lung.ciliated cell	All	OR	1700024G13Rik, Dydc2, Ttc29, Sntn, Zfp474	0.0909090909090909	1	0.166666666666667
168	TM, FACS	Lung.ciliated cell	Tissue	OR	1700024G13Rik, Dydc2, Ttc29, Sntn, Zfp474	0.56	1	0.717948717948718
169	TM, FACS	Lung.Clara cell	All	AND	Scgb3a2, Lypd2, Nkx2-1, Mir2137, Fmo3	1	0.0769230769230769	0.142857142857143
170	TM, FACS	Lung.Clara cell	Tissue	AND	Scgb3a2, Lypd2, Nkx2-1, Mir2137, Fmo3	1	0.0769230769230769	0.142857142857143
