	gene	chr	start	end	tissue	cell.type
8966	Med24	chr11	98633891	98634673	Liver	Liver.hepatocyte
9212	Msl1	chr11	98633891	98634673	Liver	Liver.hepatocyte
9213	Msl1	chr11	98649818	98651016	Liver	Liver.hepatocyte
9592	Nr1d1	chr11	98633891	98634673	Liver	Liver.hepatocyte
9593	Nr1d1	chr11	98649818	98651016	Liver	Liver.hepatocyte
8515	Klf9	chr19	23199804	23201329	Liver	Liver.hepatocyte
8516	Klf9	chr19	23207566	23211462	Liver	Liver.hepatocyte
8517	Klf9	chr19	23217087	23217733	Liver	Liver.hepatocyte
630	Chd2	chr7	80682193	80683364	Heart	Heart.cardiac muscle cell
631	Chd2	chr7	80702133	80704433	Heart	Heart.cardiac muscle cell
632	Chd2	chr7	80723613	80724640	Heart	Heart.cardiac muscle cell
633	Chd2	chr7	80728255	80729953	Heart	Heart.cardiac muscle cell
634	Chd2	chr7	80733138	80734779	Heart	Heart.cardiac muscle cell
5289	Bcl2l1	chr2	152610293	152612181	Liver	Liver.hepatocyte
21	1700113A16Rik	chr3	87936320	87938113	Heart	Heart.cardiac muscle cell
22	1700113A16Rik	chr3	87942150	87943607	Heart	Heart.cardiac muscle cell
23	1700113A16Rik	chr3	87944075	87944556	Heart	Heart.cardiac muscle cell
24	1700113A16Rik	chr3	87948017	87948381	Heart	Heart.cardiac muscle cell
25	1700113A16Rik	chr3	87948756	87949256	Heart	Heart.cardiac muscle cell
26	1700113A16Rik	chr3	87952211	87955315	Heart	Heart.cardiac muscle cell
27	1700113A16Rik	chr3	87965786	87967072	Heart	Heart.cardiac muscle cell
28	1700113A16Rik	chr3	87969752	87971001	Heart	Heart.cardiac muscle cell
29	1700113A16Rik	chr3	87977375	87977828	Heart	Heart.cardiac muscle cell
1995	Mef2d	chr3	87923904	87925944	Heart	Heart.cardiac muscle cell
1996	Mef2d	chr3	87936320	87938113	Heart	Heart.cardiac muscle cell
1997	Mef2d	chr3	87942150	87943607	Heart	Heart.cardiac muscle cell
1998	Mef2d	chr3	87944075	87944556	Heart	Heart.cardiac muscle cell
1999	Mef2d	chr3	87948017	87948381	Heart	Heart.cardiac muscle cell
2000	Mef2d	chr3	87948756	87949256	Heart	Heart.cardiac muscle cell
2001	Mef2d	chr3	87952211	87955315	Heart	Heart.cardiac muscle cell
2002	Mef2d	chr3	87965786	87967072	Heart	Heart.cardiac muscle cell
2003	Mef2d	chr3	87969752	87971001	Heart	Heart.cardiac muscle cell
2004	Mef2d	chr3	87977375	87977828	Heart	Heart.cardiac muscle cell
4045	1700113A16Rik	chr3	87942150	87943607	Liver	Liver.hepatocyte
5129	Atp2a2	chr5	122951086	122953637	Liver	Liver.hepatocyte
5130	Atp2a2	chr5	122970053	122971511	Liver	Liver.hepatocyte
5131	Atp2a2	chr5	122976298	122977692	Liver	Liver.hepatocyte
5132	Atp2a2	chr5	122979097	122980456	Liver	Liver.hepatocyte
5133	Atp2a2	chr5	122991640	122992549	Liver	Liver.hepatocyte
10772	Rbpms	chr8	34991869	34992805	Liver	Liver.hepatocyte
10773	Rbpms	chr8	35005624	35007334	Liver	Liver.hepatocyte
10774	Rbpms	chr8	35013944	35015192	Liver	Liver.hepatocyte
10775	Rbpms	chr8	35023411	35025007	Liver	Liver.hepatocyte
10776	Rbpms	chr8	35039281	35042471	Liver	Liver.hepatocyte
438	Ascc1	chr10	59426199	59428656	Heart	Heart.cardiac muscle cell
439	Ascc1	chr10	59432341	59433685	Heart	Heart.cardiac muscle cell
440	Ascc1	chr10	59435228	59436401	Heart	Heart.cardiac muscle cell
441	Ascc1	chr10	59440198	59442472	Heart	Heart.cardiac muscle cell
442	Ascc1	chr10	59443297	59445645	Heart	Heart.cardiac muscle cell
443	Ascc1	chr10	59450799	59451190	Heart	Heart.cardiac muscle cell
444	Ascc1	chr10	59453492	59454960	Heart	Heart.cardiac muscle cell
445	Ascc1	chr10	59458613	59459410	Heart	Heart.cardiac muscle cell
4800	Anapc16	chr10	59440198	59442472	Liver	Liver.hepatocyte
4801	Anapc16	chr10	59453492	59454960	Liver	Liver.hepatocyte
5049	Ascc1	chr10	59440198	59442472	Liver	Liver.hepatocyte
5050	Ascc1	chr10	59453492	59454960	Liver	Liver.hepatocyte
958	Dohh	chr10	80874054	80875609	Heart	Heart.cardiac muscle cell
959	Dohh	chr10	80876613	80877156	Heart	Heart.cardiac muscle cell
960	Dohh	chr10	80886988	80887986	Heart	Heart.cardiac muscle cell
961	Dohh	chr10	80888036	80888365	Heart	Heart.cardiac muscle cell
962	Dohh	chr10	80892285	80893364	Heart	Heart.cardiac muscle cell
963	Dohh	chr10	80893439	80894688	Heart	Heart.cardiac muscle cell
964	Dohh	chr10	80895360	80897104	Heart	Heart.cardiac muscle cell
6605	Dohh	chr10	80874054	80875609	Liver	Liver.hepatocyte
6606	Dohh	chr10	80882296	80883341	Liver	Liver.hepatocyte
6607	Dohh	chr10	80884992	80885413	Liver	Liver.hepatocyte
6608	Dohh	chr10	80893439	80894688	Liver	Liver.hepatocyte
6609	Dohh	chr10	80895360	80897104	Liver	Liver.hepatocyte
7306	Fzr1	chr10	80874054	80875609	Liver	Liver.hepatocyte
7307	Fzr1	chr10	80882296	80883341	Liver	Liver.hepatocyte
7308	Fzr1	chr10	80884992	80885413	Liver	Liver.hepatocyte
9478	Nfic	chr10	80874054	80875609	Liver	Liver.hepatocyte
9479	Nfic	chr10	80882296	80883341	Liver	Liver.hepatocyte
9480	Nfic	chr10	80884992	80885413	Liver	Liver.hepatocyte
9481	Nfic	chr10	80893439	80894688	Liver	Liver.hepatocyte
9482	Nfic	chr10	80895360	80897104	Liver	Liver.hepatocyte
2829	Ppp2r5b	chr19	6284410	6285192	Heart	Heart.cardiac muscle cell
6729	Ehd1	chr19	6290761	6292747	Liver	Liver.hepatocyte
8977	Men1	chr19	6290761	6292747	Liver	Liver.hepatocyte
204	Aco2	chr15	81664513	81665062	Heart	Heart.cardiac muscle cell
205	Aco2	chr15	81665489	81665808	Heart	Heart.cardiac muscle cell
206	Aco2	chr15	81665907	81666413	Heart	Heart.cardiac muscle cell
207	Aco2	chr15	81666730	81668069	Heart	Heart.cardiac muscle cell
208	Aco2	chr15	81668980	81669631	Heart	Heart.cardiac muscle cell
209	Aco2	chr15	81669860	81670828	Heart	Heart.cardiac muscle cell
210	Aco2	chr15	81675440	81676708	Heart	Heart.cardiac muscle cell
211	Aco2	chr15	81679518	81680077	Heart	Heart.cardiac muscle cell
212	Aco2	chr15	81681123	81681794	Heart	Heart.cardiac muscle cell
213	Aco2	chr15	81681870	81682576	Heart	Heart.cardiac muscle cell
214	Aco2	chr15	81686480	81687140	Heart	Heart.cardiac muscle cell
2593	Phf5a	chr15	81664513	81665062	Heart	Heart.cardiac muscle cell
2594	Phf5a	chr15	81665489	81665808	Heart	Heart.cardiac muscle cell
2595	Phf5a	chr15	81665907	81666413	Heart	Heart.cardiac muscle cell
2596	Phf5a	chr15	81666730	81668069	Heart	Heart.cardiac muscle cell
2597	Phf5a	chr15	81668980	81669631	Heart	Heart.cardiac muscle cell
2598	Phf5a	chr15	81669860	81670828	Heart	Heart.cardiac muscle cell
2599	Phf5a	chr15	81675440	81676708	Heart	Heart.cardiac muscle cell
2600	Phf5a	chr15	81679518	81680077	Heart	Heart.cardiac muscle cell
2601	Phf5a	chr15	81681123	81681794	Heart	Heart.cardiac muscle cell
2602	Phf5a	chr15	81681870	81682576	Heart	Heart.cardiac muscle cell
2603	Phf5a	chr15	81686480	81687140	Heart	Heart.cardiac muscle cell
3495	Tef	chr15	81664513	81665062	Heart	Heart.cardiac muscle cell
3496	Tef	chr15	81665489	81665808	Heart	Heart.cardiac muscle cell
3497	Tef	chr15	81665907	81666413	Heart	Heart.cardiac muscle cell
3498	Tef	chr15	81666730	81668069	Heart	Heart.cardiac muscle cell
3499	Tef	chr15	81668980	81669631	Heart	Heart.cardiac muscle cell
3500	Tef	chr15	81669860	81670828	Heart	Heart.cardiac muscle cell
3501	Tef	chr15	81675440	81676708	Heart	Heart.cardiac muscle cell
3502	Tef	chr15	81679518	81680077	Heart	Heart.cardiac muscle cell
3503	Tef	chr15	81681123	81681794	Heart	Heart.cardiac muscle cell
3504	Tef	chr15	81681870	81682576	Heart	Heart.cardiac muscle cell
3505	Tef	chr15	81686480	81687140	Heart	Heart.cardiac muscle cell
4412	Aco2	chr15	81665907	81666413	Liver	Liver.hepatocyte
4413	Aco2	chr15	81666730	81668069	Liver	Liver.hepatocyte
4414	Aco2	chr15	81668980	81669631	Liver	Liver.hepatocyte
4415	Aco2	chr15	81669860	81670828	Liver	Liver.hepatocyte
4416	Aco2	chr15	81675440	81676708	Liver	Liver.hepatocyte
4417	Aco2	chr15	81686480	81687140	Liver	Liver.hepatocyte
4418	Aco2	chr15	81691194	81691508	Liver	Liver.hepatocyte
10038	Phf5a	chr15	81665907	81666413	Liver	Liver.hepatocyte
10039	Phf5a	chr15	81666730	81668069	Liver	Liver.hepatocyte
10040	Phf5a	chr15	81668980	81669631	Liver	Liver.hepatocyte
10041	Phf5a	chr15	81669860	81670828	Liver	Liver.hepatocyte
10042	Phf5a	chr15	81675440	81676708	Liver	Liver.hepatocyte
10043	Phf5a	chr15	81686480	81687140	Liver	Liver.hepatocyte
10044	Phf5a	chr15	81691194	81691508	Liver	Liver.hepatocyte
12227	Tef	chr15	81665907	81666413	Liver	Liver.hepatocyte
12228	Tef	chr15	81666730	81668069	Liver	Liver.hepatocyte
12229	Tef	chr15	81668980	81669631	Liver	Liver.hepatocyte
12230	Tef	chr15	81669860	81670828	Liver	Liver.hepatocyte
12231	Tef	chr15	81675440	81676708	Liver	Liver.hepatocyte
12232	Tef	chr15	81686480	81687140	Liver	Liver.hepatocyte
12233	Tef	chr15	81691194	81691508	Liver	Liver.hepatocyte
12487	Tob2	chr15	81665907	81666413	Liver	Liver.hepatocyte
12488	Tob2	chr15	81666730	81668069	Liver	Liver.hepatocyte
12489	Tob2	chr15	81668980	81669631	Liver	Liver.hepatocyte
12490	Tob2	chr15	81669860	81670828	Liver	Liver.hepatocyte
12491	Tob2	chr15	81675440	81676708	Liver	Liver.hepatocyte
12492	Tob2	chr15	81686480	81687140	Liver	Liver.hepatocyte
12493	Tob2	chr15	81691194	81691508	Liver	Liver.hepatocyte
14190	Ptp4a3	chr15	73561876	73563976	Spleen	Spleen.B cell
6863	Ergic1	chr17	26649127	26649725	Liver	Liver.hepatocyte
4739	Alg12	chr15	88680487	88682856	Liver	Liver.hepatocyte
4740	Alg12	chr15	88688409	88689089	Liver	Liver.hepatocyte
4741	Alg12	chr15	88697565	88698954	Liver	Liver.hepatocyte
6057	Creld2	chr15	88680487	88682856	Liver	Liver.hepatocyte
6058	Creld2	chr15	88688409	88689089	Liver	Liver.hepatocyte
6059	Creld2	chr15	88697565	88698954	Liver	Liver.hepatocyte
10096	Pim3	chr15	88680487	88682856	Liver	Liver.hepatocyte
10097	Pim3	chr15	88688409	88689089	Liver	Liver.hepatocyte
10098	Pim3	chr15	88697565	88698954	Liver	Liver.hepatocyte
10099	Pim3	chr15	88701139	88701674	Liver	Liver.hepatocyte
3001	Rbm20	chr19	53771583	53772906	Heart	Heart.cardiac muscle cell
3002	Rbm20	chr19	53779159	53780265	Heart	Heart.cardiac muscle cell
3003	Rbm20	chr19	53782833	53783288	Heart	Heart.cardiac muscle cell
3004	Rbm20	chr19	53785388	53786309	Heart	Heart.cardiac muscle cell
3005	Rbm20	chr19	53786817	53787135	Heart	Heart.cardiac muscle cell
3006	Rbm20	chr19	53787593	53788281	Heart	Heart.cardiac muscle cell
3007	Rbm20	chr19	53790749	53791658	Heart	Heart.cardiac muscle cell
3008	Rbm20	chr19	53791734	53792160	Heart	Heart.cardiac muscle cell
3009	Rbm20	chr19	53800822	53801602	Heart	Heart.cardiac muscle cell
3906	Col4a2	chr8	11270734	11271333	Heart	Heart.endothelial cell
3907	Col4a2	chr8	11273198	11274159	Heart	Heart.endothelial cell
3908	Col4a2	chr8	11277633	11278840	Heart	Heart.endothelial cell
11866	Sorbs1	chr19	40551534	40553538	Liver	Liver.hepatocyte
11867	Sorbs1	chr19	40561624	40563939	Liver	Liver.hepatocyte
11868	Sorbs1	chr19	40573458	40575124	Liver	Liver.hepatocyte
11863	Sorbs1	chr19	40439308	40441407	Liver	Liver.hepatocyte
11864	Sorbs1	chr19	40444330	40445437	Liver	Liver.hepatocyte
1988	Med29	chr7	29160407	29161257	Heart	Heart.cardiac muscle cell
1989	Med29	chr7	29165918	29168527	Heart	Heart.cardiac muscle cell
2498	Paf1	chr7	29160407	29161257	Heart	Heart.cardiac muscle cell
2499	Paf1	chr7	29165918	29168527	Heart	Heart.cardiac muscle cell
8968	Med29	chr7	29165918	29168527	Liver	Liver.hepatocyte
9807	Paf1	chr7	29165918	29168527	Liver	Liver.hepatocyte
14460	Zfp36	chr7	29165918	29168527	Spleen	Spleen.B cell
12364	Tmem107	chr11	68908096	68909498	Liver	Liver.hepatocyte
8072	Hpd	chr5	123585396	123587222	Liver	Liver.hepatocyte
8073	Hpd	chr5	123587596	123588029	Liver	Liver.hepatocyte
8074	Hpd	chr5	123588979	123589673	Liver	Liver.hepatocyte
2165	Mta1	chr12	114370484	114372008	Heart	Heart.cardiac muscle cell
2166	Mta1	chr12	114375926	114376430	Heart	Heart.cardiac muscle cell
2167	Mta1	chr12	114376558	114376773	Heart	Heart.cardiac muscle cell
2168	Mta1	chr12	114376949	114381198	Heart	Heart.cardiac muscle cell
2169	Mta1	chr12	114382697	114382986	Heart	Heart.cardiac muscle cell
2170	Mta1	chr12	114384119	114385601	Heart	Heart.cardiac muscle cell
9223	Mta1	chr12	114376949	114381198	Liver	Liver.hepatocyte
9472	Nfia	chr4	97417480	97419301	Liver	Liver.hepatocyte
9473	Nfia	chr4	97423803	97425604	Liver	Liver.hepatocyte
9474	Nfia	chr4	97431736	97432861	Liver	Liver.hepatocyte
9475	Nfia	chr4	97438448	97440513	Liver	Liver.hepatocyte
8354	Irf2bp2	chr8	129111864	129112113	Liver	Liver.hepatocyte
8355	Irf2bp2	chr8	129112654	129113336	Liver	Liver.hepatocyte
8356	Irf2bp2	chr8	129113814	129114472	Liver	Liver.hepatocyte
8357	Irf2bp2	chr8	129137765	129138942	Liver	Liver.hepatocyte
13329	0610039K10Rik	chr2	163502026	163502935	Spleen	Spleen.B cell
14113	Pkig	chr2	163502026	163502935	Spleen	Spleen.B cell
14114	Pkig	chr2	163528209	163529916	Spleen	Spleen.B cell
14262	Serinc3	chr2	163502026	163502935	Spleen	Spleen.B cell
6757	Eif4b	chr15	101930037	101932248	Liver	Liver.hepatocyte
6758	Eif4b	chr15	101935642	101936149	Liver	Liver.hepatocyte
11856	Soat2	chr15	101935642	101936149	Liver	Liver.hepatocyte
11915	Spryd3	chr15	101930037	101932248	Liver	Liver.hepatocyte
11916	Spryd3	chr15	101935642	101936149	Liver	Liver.hepatocyte
13828	Heg1	chr16	33696877	33698939	Spleen	Spleen.B cell
13829	Heg1	chr16	33708880	33709314	Spleen	Spleen.B cell
3395	Stk11	chr10	79609447	79609805	Heart	Heart.cardiac muscle cell
3396	Stk11	chr10	79613733	79615367	Heart	Heart.cardiac muscle cell
4015	1600002K03Rik	chr10	79613733	79615367	Liver	Liver.hepatocyte
5148	Atp5d	chr10	79613733	79615367	Liver	Liver.hepatocyte
12013	Stk11	chr10	79613733	79615367	Liver	Liver.hepatocyte
413	Asb15	chr6	24518972	24519486	Heart	Heart.cardiac muscle cell
414	Asb15	chr6	24519515	24520155	Heart	Heart.cardiac muscle cell
415	Asb15	chr6	24520281	24520771	Heart	Heart.cardiac muscle cell
416	Asb15	chr6	24521008	24521995	Heart	Heart.cardiac muscle cell
417	Asb15	chr6	24523308	24523663	Heart	Heart.cardiac muscle cell
1828	Lmod2	chr6	24518972	24519486	Heart	Heart.cardiac muscle cell
1829	Lmod2	chr6	24519515	24520155	Heart	Heart.cardiac muscle cell
1830	Lmod2	chr6	24520281	24520771	Heart	Heart.cardiac muscle cell
1831	Lmod2	chr6	24521008	24521995	Heart	Heart.cardiac muscle cell
1832	Lmod2	chr6	24523308	24523663	Heart	Heart.cardiac muscle cell
1833	Lmod2	chr6	24536015	24537406	Heart	Heart.cardiac muscle cell
1834	Lmod2	chr6	24549609	24549988	Heart	Heart.cardiac muscle cell
1835	Lmod2	chr6	24551681	24552025	Heart	Heart.cardiac muscle cell
1836	Lmod2	chr6	24552032	24553481	Heart	Heart.cardiac muscle cell
1837	Lmod2	chr6	24553658	24553887	Heart	Heart.cardiac muscle cell
1838	Lmod2	chr6	24557349	24557951	Heart	Heart.cardiac muscle cell
1839	Lmod2	chr6	24561901	24562931	Heart	Heart.cardiac muscle cell
4616	Ahdc1	chr4	132563518	132564480	Liver	Liver.hepatocyte
4617	Ahdc1	chr4	132569123	132569942	Liver	Liver.hepatocyte
4618	Ahdc1	chr4	132604963	132607387	Liver	Liver.hepatocyte
4619	Ahdc1	chr4	132611442	132614376	Liver	Liver.hepatocyte
1811	Lgals4	chr7	29593133	29593898	Heart	Heart.cardiac muscle cell
1812	Lgals4	chr7	29606204	29606938	Heart	Heart.cardiac muscle cell
1813	Lgals4	chr7	29614821	29615306	Heart	Heart.cardiac muscle cell
11188	Sec16a	chr2	26337266	26339537	Liver	Liver.hepatocyte
5402	Btbd2	chr10	80126223	80128516	Liver	Liver.hepatocyte
8419	Izumo4	chr10	80126223	80128516	Liver	Liver.hepatocyte
13856	Id3	chr4	135683256	135684077	Spleen	Spleen.B cell
11065	Sae1	chr7	17000773	17001507	Liver	Liver.hepatocyte
12395	Tmem160	chr7	17000773	17001507	Liver	Liver.hepatocyte
7945	Herpud1	chr8	96882336	96882959	Liver	Liver.hepatocyte
7946	Herpud1	chr8	96886542	96888504	Liver	Liver.hepatocyte
7947	Herpud1	chr8	96899309	96902452	Liver	Liver.hepatocyte
5386	Bri3bp	chr5	125882938	125883523	Liver	Liver.hepatocyte
5387	Bri3bp	chr5	125883877	125884778	Liver	Liver.hepatocyte
5388	Bri3bp	chr5	125885094	125887234	Liver	Liver.hepatocyte
5389	Bri3bp	chr5	125889220	125889635	Liver	Liver.hepatocyte
101	2810004N23Rik	chr8	127433647	127434832	Heart	Heart.cardiac muscle cell
102	2810004N23Rik	chr8	127435814	127436589	Heart	Heart.cardiac muscle cell
1035	Egln1	chr8	127433647	127434832	Heart	Heart.cardiac muscle cell
1036	Egln1	chr8	127435814	127436589	Heart	Heart.cardiac muscle cell
1037	Egln1	chr8	127445397	127447003	Heart	Heart.cardiac muscle cell
1038	Egln1	chr8	127447852	127448645	Heart	Heart.cardiac muscle cell
1039	Egln1	chr8	127449626	127450841	Heart	Heart.cardiac muscle cell
1040	Egln1	chr8	127453735	127454546	Heart	Heart.cardiac muscle cell
1041	Egln1	chr8	127460769	127461949	Heart	Heart.cardiac muscle cell
1042	Egln1	chr8	127470629	127471423	Heart	Heart.cardiac muscle cell
1109	Exoc8	chr8	127433647	127434832	Heart	Heart.cardiac muscle cell
1110	Exoc8	chr8	127435814	127436589	Heart	Heart.cardiac muscle cell
1111	Exoc8	chr8	127445397	127447003	Heart	Heart.cardiac muscle cell
1112	Exoc8	chr8	127447852	127448645	Heart	Heart.cardiac muscle cell
1113	Exoc8	chr8	127449626	127450841	Heart	Heart.cardiac muscle cell
1114	Exoc8	chr8	127453735	127454546	Heart	Heart.cardiac muscle cell
1115	Exoc8	chr8	127460769	127461949	Heart	Heart.cardiac muscle cell
1116	Exoc8	chr8	127470629	127471423	Heart	Heart.cardiac muscle cell
1352	Gnpat	chr8	127433647	127434832	Heart	Heart.cardiac muscle cell
1353	Gnpat	chr8	127435814	127436589	Heart	Heart.cardiac muscle cell
8705	Lmo7	chr14	102252853	102254193	Liver	Liver.hepatocyte
3925	Jup	chr11	100252306	100253025	Heart	Heart.endothelial cell
1393	Grpel2	chr18	61918105	61918942	Heart	Heart.cardiac muscle cell
8672	Lims2	chr18	32094550	32095446	Liver	Liver.hepatocyte
240	Actn2	chr13	12386023	12386868	Heart	Heart.cardiac muscle cell
241	Actn2	chr13	12388600	12389504	Heart	Heart.cardiac muscle cell
242	Actn2	chr13	12408955	12409977	Heart	Heart.cardiac muscle cell
243	Actn2	chr13	12410304	12410639	Heart	Heart.cardiac muscle cell
244	Actn2	chr13	12412099	12413103	Heart	Heart.cardiac muscle cell
245	Actn2	chr13	12415332	12415778	Heart	Heart.cardiac muscle cell
246	Actn2	chr13	12425917	12427391	Heart	Heart.cardiac muscle cell
247	Actn2	chr13	12429964	12430544	Heart	Heart.cardiac muscle cell
6866	Ergic1	chr17	26729192	26730706	Liver	Liver.hepatocyte
6867	Ergic1	chr17	26738486	26740477	Liver	Liver.hepatocyte
1794	Ldb3	chr14	35380695	35381430	Heart	Heart.cardiac muscle cell
1795	Ldb3	chr14	35382458	35384047	Heart	Heart.cardiac muscle cell
1796	Ldb3	chr14	35386045	35387797	Heart	Heart.cardiac muscle cell
1797	Ldb3	chr14	35395776	35396634	Heart	Heart.cardiac muscle cell
1798	Ldb3	chr14	35398671	35399447	Heart	Heart.cardiac muscle cell
1799	Ldb3	chr14	35403454	35404881	Heart	Heart.cardiac muscle cell
1800	Ldb3	chr14	35405413	35405677	Heart	Heart.cardiac muscle cell
2455	Opn4	chr14	35380695	35381430	Heart	Heart.cardiac muscle cell
2456	Opn4	chr14	35382458	35384047	Heart	Heart.cardiac muscle cell
2457	Opn4	chr14	35386045	35387797	Heart	Heart.cardiac muscle cell
2458	Opn4	chr14	35395776	35396634	Heart	Heart.cardiac muscle cell
2459	Opn4	chr14	35398671	35399447	Heart	Heart.cardiac muscle cell
2460	Opn4	chr14	35403454	35404881	Heart	Heart.cardiac muscle cell
2461	Opn4	chr14	35405413	35405677	Heart	Heart.cardiac muscle cell
9487	Nfix	chr8	87248307	87250371	Liver	Liver.hepatocyte
12603	Trmt1	chr8	87233012	87234305	Liver	Liver.hepatocyte
12604	Trmt1	chr8	87234357	87235146	Liver	Liver.hepatocyte
12605	Trmt1	chr8	87246363	87248286	Liver	Liver.hepatocyte
12606	Trmt1	chr8	87248307	87250371	Liver	Liver.hepatocyte
1324	Gm9899	chr5	30876597	30877281	Heart	Heart.cardiac muscle cell
1325	Gm9899	chr5	30879640	30881255	Heart	Heart.cardiac muscle cell
1326	Gm9899	chr5	30888848	30892084	Heart	Heart.cardiac muscle cell
1327	Gm9899	chr5	30896074	30897325	Heart	Heart.cardiac muscle cell
1328	Gm9899	chr5	30906679	30907833	Heart	Heart.cardiac muscle cell
1329	Gm9899	chr5	30907899	30909546	Heart	Heart.cardiac muscle cell
1330	Gm9899	chr5	30916511	30917019	Heart	Heart.cardiac muscle cell
1331	Gm9899	chr5	30917599	30918265	Heart	Heart.cardiac muscle cell
1332	Gm9899	chr5	30919564	30921030	Heart	Heart.cardiac muscle cell
1333	Gm9899	chr5	30930386	30931602	Heart	Heart.cardiac muscle cell
1690	Kcnk3	chr5	30876597	30877281	Heart	Heart.cardiac muscle cell
1691	Kcnk3	chr5	30879640	30881255	Heart	Heart.cardiac muscle cell
1692	Kcnk3	chr5	30888848	30892084	Heart	Heart.cardiac muscle cell
1693	Kcnk3	chr5	30896074	30897325	Heart	Heart.cardiac muscle cell
1694	Kcnk3	chr5	30906679	30907833	Heart	Heart.cardiac muscle cell
1695	Kcnk3	chr5	30907899	30909546	Heart	Heart.cardiac muscle cell
1696	Kcnk3	chr5	30916511	30917019	Heart	Heart.cardiac muscle cell
1697	Kcnk3	chr5	30917599	30918265	Heart	Heart.cardiac muscle cell
1698	Kcnk3	chr5	30919564	30921030	Heart	Heart.cardiac muscle cell
1699	Kcnk3	chr5	30930386	30931602	Heart	Heart.cardiac muscle cell
3362	Srl	chr16	4497475	4498607	Heart	Heart.cardiac muscle cell
3363	Srl	chr16	4500329	4501385	Heart	Heart.cardiac muscle cell
3364	Srl	chr16	4511399	4512279	Heart	Heart.cardiac muscle cell
