"atlas","dataset","celltype","total_cells","total_features","rho","pvalue"
"BCA","Pons","ExcludedAstrocyteOligos",969,15147,0.519715299870205,0
"BCA","Pons","ExcludedAstrocyteVascular",45,10950,0.552971196460575,0
"BCA","Pons","ExcludedImmuneOligos",82,11854,0.56618169580096,0
"BCA","Pons","ExcludedNeuronsOligos",279,15490,0.555174179238667,0
"BCA","Pons","ExcludedOligosVascular",316,14377,0.539589282187643,0
"BCA","Pons","Immune",640,14011,0.553639877814343,0
"BCA","Pons","Neurons",2947,18768,0.524798527093608,0
"BCA","Pons","Oligos",51484,19807,0.526125013324732,0
"BCA","Pons","OligosOligosCycling",22,8568,0.586971096684534,0
"BCA","Pons","Vascular",3454,17513,0.506375240946627,0
"BCA","Spinalcord","AstrocytesAstrocyte",1182,14399,0.48850854007221,0
"BCA","Spinalcord","AstrocytesOEC",2,1735,0.892568583192491,0
"BCA","Spinalcord","Blood",600,11779,0.511109710697011,0
"BCA","Spinalcord","Ependymal",505,15395,0.527370809565178,0
"BCA","Spinalcord","ExcludedAstrocyteImmune",24,8458,0.643325817925705,0
"BCA","Spinalcord","ExcludedAstrocyteNeurons",10,7313,0.700591185899143,0
"BCA","Spinalcord","ExcludedAstrocyteOligos",839,15072,0.539427780487067,0
"BCA","Spinalcord","ExcludedAstrocyteVascular",82,11664,0.558326475642068,0
"BCA","Spinalcord","ExcludedImmuneOligos",137,12755,0.593114204147491,0
"BCA","Spinalcord","ExcludedNeuronsOligos",92,13042,0.595760957584629,0
"BCA","Spinalcord","ExcludedOligosVascular",379,14561,0.579925519816371,0
"BCA","Spinalcord","Immune",1010,14305,0.590996582590151,0
"BCA","Spinalcord","Neurons",2885,17760,0.525059035772198,0
"BCA","Spinalcord","NeuronsNeuronsCycling",4,1735,0.811390281197228,0
"BCA","Spinalcord","Oligos",24616,18884,0.559185865517381,0
"BCA","Spinalcord","OligosOligosCycling",107,11618,0.526982724621588,0
"BCA","Spinalcord","Vascular",4752,17593,0.557251227856143,0
"BCA","Striatumdorsal","AstrocytesAstrocyte",1200,14525,0.493930949408524,0
"BCA","Striatumdorsal","AstrocytesBergmannglia",57,8952,0.55811096343207,0
"BCA","Striatumdorsal","Blood",113,7912,0.591784102066757,0
"BCA","Striatumdorsal","Ependymal",87,12538,0.550744474382394,0
"BCA","Striatumdorsal","ExcludedAstrocyteImmune",4,3960,0.827026649410977,0
"BCA","Striatumdorsal","ExcludedAstrocyteNeurons",49,11377,0.553390538707707,0
"BCA","Striatumdorsal","ExcludedAstrocyteOligos",26,9625,0.628232547002801,0
"BCA","Striatumdorsal","ExcludedAstrocyteVascular",3,3142,0.854847697667452,0
"BCA","Striatumdorsal","ExcludedBloodVascular",5,6101,0.778962593353173,0
"BCA","Striatumdorsal","ExcludedImmuneOligos",8,6139,0.742041489419517,0
"BCA","Striatumdorsal","ExcludedNeuronsOligos",46,11696,0.606849996284078,0
"BCA","Striatumdorsal","ExcludedOligosVascular",5,6219,0.780233946680989,0
"BCA","Striatumdorsal","Immune",655,13366,0.552462849331371,0
"BCA","Striatumdorsal","Neurons",6733,17980,0.513366900499123,0
"BCA","Striatumdorsal","NeuronsNeuronsCycling",251,12798,0.582409253417928,0
"BCA","Striatumdorsal","Oligos",1929,15565,0.545998833231311,0
"BCA","Striatumdorsal","OligosOligosCycling",8,5602,0.705020241778385,0
"BCA","Striatumdorsal","Vascular",594,14330,0.513336430850867,0
"BCA","Striatumventral","AstrocytesAstrocyte",1716,14953,0.457195412741114,0
"BCA","Striatumventral","AstrocytesBergmannglia",19,5925,0.630192744582132,0
"BCA","Striatumventral","AstrocytesOEC",2,1279,0.920199257334224,0
"BCA","Striatumventral","Blood",369,11273,0.48561395914662,0
"BCA","Striatumventral","Ependymal",123,13284,0.512080199183015,0
"BCA","Striatumventral","ExcludedAstrocyteImmune",29,8177,0.608611459012159,0
"BCA","Striatumventral","ExcludedAstrocyteNeurons",251,14013,0.502146766857582,0
"BCA","Striatumventral","ExcludedAstrocyteOligos",117,11902,0.544090401655431,0
"BCA","Striatumventral","ExcludedAstrocyteVascular",32,9265,0.57600380162178,0
"BCA","Striatumventral","ExcludedBloodVascular",5,6691,0.772771019597995,0
"BCA","Striatumventral","ExcludedImmuneNeurons",7,7663,0.719486968965928,0
"BCA","Striatumventral","ExcludedImmuneOligos",46,9650,0.602477964662746,0
"BCA","Striatumventral","ExcludedNeuronsOligos",192,13884,0.545641792801171,0
"BCA","Striatumventral","ExcludedOligosVascular",30,9479,0.612436569950501,0
"BCA","Striatumventral","Immune",1459,15191,0.509695639343063,0
"BCA","Striatumventral","Neurons",10674,18870,0.470191345958558,0
"BCA","Striatumventral","NeuronsNeuronsCycling",334,12761,0.55177920530722,0
"BCA","Striatumventral","Oligos",3835,16238,0.504037480585609,0
"BCA","Striatumventral","OligosOligosCycling",32,8575,0.557612869191847,0
"BCA","Striatumventral","Vascular",999,15283,0.506219079162403,0
"BCA","Sympathetic","AstrocytesOEC",2,2200,0.905756013538608,0
"BCA","Sympathetic","Blood",2,992,0.912505705943248,0
"BCA","Sympathetic","Neurons",1309,16838,0.674535193200155,0
"BCA","Sympathetic","PeripheralGliaSatelliteglia",126,12267,0.604642235893534,0
"BCA","Sympathetic","PeripheralGliaSatellitegliaCycling",3,3913,0.852140721459511,0
"BCA","Sympathetic","Vascular",47,11756,0.635902464228343,0
"BCA","Thalamus","AstrocytesAstrocyte",2038,15241,0.441197769421148,0
"BCA","Thalamus","AstrocytesBergmannglia",2,1587,0.902533589700997,0
"BCA","Thalamus","Blood",261,11192,0.492381775338415,0
"BCA","Thalamus","Ependymal",158,13612,0.500763969189624,0
"BCA","Thalamus","EpendymalTtr",50,10783,0.635419161818342,0
"BCA","Thalamus","ExcludedAstrocyteImmune",55,9792,0.564687801432702,0
"BCA","Thalamus","ExcludedAstrocyteNeurons",50,11757,0.545745350585384,0
"BCA","Thalamus","ExcludedAstrocyteOligos",518,13901,0.504956438004626,0
"BCA","Thalamus","ExcludedAstrocyteVascular",151,12359,0.492452382670205,0
"BCA","Thalamus","ExcludedImmuneNeurons",2,2691,0.924799617750336,0
"BCA","Thalamus","ExcludedImmuneOligos",153,12051,0.536267298309884,0
"BCA","Thalamus","ExcludedNeuronsOligos",392,15171,0.528783837166018,0
"BCA","Thalamus","ExcludedOligosVascular",188,12927,0.530710300169269,0
"BCA","Thalamus","Immune",1334,14881,0.521355085014539,0
"BCA","Thalamus","Neurons",8448,19204,0.501253218961566,0
"BCA","Thalamus","NeuronsNeuronsCycling",7,3869,0.748343403263934,0
"BCA","Thalamus","Oligos",19682,18307,0.500123070935801,0
"BCA","Thalamus","OligosOligosCycling",58,10099,0.528272736730175,0
"BCA","Thalamus","Vascular",3133,16541,0.480747750822571,0
"MCA","Bladder","Basal epithelial cell",344,14165,0.62499607272656,0
"MCA","Bladder","Dendritic cell_Cd74 high",38,7219,0.660574028726375,0
"MCA","Bladder","Dendritic cell_Lyz2 high",41,7995,0.640402275116858,0
"MCA","Bladder","Endothelial cell_Ly6c1 high",36,7768,0.627224132440735,0
"MCA","Bladder","Epithelial cell_Gm23935 high",64,9410,0.600079386524007,0
"MCA","Bladder","Epithelial cell_Upk3a high",224,11221,0.604115026468547,0
"MCA","Bladder","Macrophage_Pf4 high",44,7835,0.607556244811263,0
"MCA","Bladder","Mesenchymal stromal cell",357,13158,0.583322206226015,0
"MCA","Bladder","NK cell",30,6514,0.676496225384504,0
"MCA","Bladder","Smooth muscle cell",131,10704,0.565604233511446,0
"MCA","Bladder","Stromal cell_Car3 high",236,12844,0.579342480953562,0
"MCA","Bladder","Stromal cell_Dpt high",717,15075,0.582620836307264,0
"MCA","Bladder","Umbrella cell",75,13369,0.703494154398242,0
"MCA","Bladder","Urothelium",316,14830,0.644635825684174,0
"MCA","Bladder","Vascular endothelial cell",80,9988,0.617160046867832,0
"MCA","Bladder","Vascular smooth muscle progenitor cell",13,4489,0.677572861895995,0
"MCA","BoneMarrow","B cell",388,11272,0.558375304436674,0
"MCA","BoneMarrow","B cell_Igkc high",47,6473,0.581925814060352,0
"MCA","BoneMarrow","Basophil",426,11373,0.562818520253228,0
"MCA","BoneMarrow","Dendritic cell_H2-Eb1 high",4,2255,0.82256224702659,0
"MCA","BoneMarrow","Dendritic cell_Siglech high",11,3961,0.705263533943498,0
"MCA","BoneMarrow","Eosinophil progenitor cell",182,10087,0.579733382328925,0
"MCA","BoneMarrow","Erythroblast",11,4205,0.675386090174215,0
"MCA","BoneMarrow","Erythrocyte progenitor_Car1 high",809,11918,0.586384647990209,0
"MCA","BoneMarrow","Erythrocyte progenitor_Hba-a1 high",264,10765,0.597943963415287,0
"MCA","BoneMarrow","Hematopoietic stem progenitor cell",16,5742,0.689508640151154,0
"MCA","BoneMarrow","Macrophage_C1qc high",210,10431,0.535375715292444,0
"MCA","BoneMarrow","Macrophage_Cd74 high",199,10267,0.567036589325655,0
"MCA","BoneMarrow","Macrophage_Ms4a6c high",26,7062,0.645860921346698,0
"MCA","BoneMarrow","Macrophage_S100a4 high",118,9370,0.557772435470882,0
"MCA","BoneMarrow","Mast cell",4,2141,0.818111762857304,0
"MCA","BoneMarrow","Megakaryocyte progenitor cell",431,11506,0.567927061568124,0
"MCA","BoneMarrow","Monocyte progenitor",2374,12548,0.597214492382366,0
"MCA","BoneMarrow","Monocyte progenitor cell_Ctsg high",2223,12535,0.618330910619374,0
"MCA","BoneMarrow","Monocyte progenitor cell_Prtn3 high",2627,12413,0.57257283741592,0
"MCA","BoneMarrow","Monocyte_Mif high",2,3749,0.900693148256306,0
"MCA","BoneMarrow","Monocyte_Prtn3 high",29,5919,0.594259834387446,0
"MCA","BoneMarrow","Multipotent progenitor_Ctla2a high",1596,12515,0.567376359543252,0
"MCA","BoneMarrow","Neutrophil progenitor",101,6731,0.565980059022264,0
"MCA","BoneMarrow","Neutrophil_Cebpe high",18,5030,0.645628749362818,0
"MCA","BoneMarrow","Neutrophil_Fcnb high",2371,12365,0.568896171111503,0
"MCA","BoneMarrow","Neutrophil_Ighg1 high",3330,12238,0.51462796672977,0
"MCA","BoneMarrow","Neutrophil_Lcn2 high",4647,12487,0.548912149462228,0
"MCA","BoneMarrow","Neutrophil_Ltf high",1559,12005,0.546381253572459,0
"MCA","BoneMarrow","Neutrophil_Mmp8 high",74,6400,0.589305875657869,0
"MCA","BoneMarrow","Neutrophil_Ngp high",2462,11819,0.493454622154595,0
"MCA","BoneMarrow","Neutrophil_Retnlg high",336,9685,0.54325973451295,0
"MCA","BoneMarrow","Pre-pro B cell",68,8330,0.546634937662394,0
"MCA","BoneMarrow","T cell_Ms4a4b high",30,6042,0.621594541920991,0
"MCA","Brain","Astrocyte_Atp1b2 high",77,9024,0.558630893597843,0
"MCA","Brain","Astrocyte_Mfe8 high",104,10166,0.538155935124496,0
"MCA","Brain","Astrocyte_Pla2g7 high",18,3506,0.684821971480559,0
"MCA","Brain","Astroglial cell",30,7930,0.593136208749269,0
"MCA","Brain","Granulocyte_Il33 high",16,3453,0.684843866062023,0
"MCA","Brain","Granulocyte_Ngp high",10,2020,0.739285173351826,0
