	gene	chr	start	end	tissue	cell.type
110	4430402I18Rik	chr19	29049216	29050313	Heart	Heart.cardiac muscle cell
111	4732491K20Rik	chr17	12469306	12471527	Heart	Heart.cardiac muscle cell
112	4732491K20Rik	chr17	12493081	12494607	Heart	Heart.cardiac muscle cell
113	4732491K20Rik	chr17	12498026	12498805	Heart	Heart.cardiac muscle cell
114	4732491K20Rik	chr17	12520455	12521857	Heart	Heart.cardiac muscle cell
115	4732491K20Rik	chr17	12528582	12529779	Heart	Heart.cardiac muscle cell
116	4732491K20Rik	chr17	12560071	12560782	Heart	Heart.cardiac muscle cell
117	4833439L19Rik	chr13	54657761	54659498	Heart	Heart.cardiac muscle cell
118	4833439L19Rik	chr13	54665637	54668107	Heart	Heart.cardiac muscle cell
119	4833439L19Rik	chr13	54697468	54698697	Heart	Heart.cardiac muscle cell
120	4921524J17Rik	chr8	87909941	87910621	Heart	Heart.cardiac muscle cell
121	4921524J17Rik	chr8	87920808	87921986	Heart	Heart.cardiac muscle cell
122	4921524J17Rik	chr8	87952895	87953496	Heart	Heart.cardiac muscle cell
123	4921524J17Rik	chr8	87980122	87981089	Heart	Heart.cardiac muscle cell
124	4921524J17Rik	chr8	87984539	87985602	Heart	Heart.cardiac muscle cell
125	4921531C22Rik	chr2	179693539	179695474	Heart	Heart.cardiac muscle cell
126	4921531C22Rik	chr2	179708511	179709541	Heart	Heart.cardiac muscle cell
127	4921531C22Rik	chr2	179709692	179710215	Heart	Heart.cardiac muscle cell
128	4921531C22Rik	chr2	179714424	179714903	Heart	Heart.cardiac muscle cell
129	4921531C22Rik	chr2	179716418	179716892	Heart	Heart.cardiac muscle cell
130	4930481A15Rik	chr19	5414277	5415223	Heart	Heart.cardiac muscle cell
131	4930481A15Rik	chr19	5432677	5434032	Heart	Heart.cardiac muscle cell
132	4930513N10Rik	chr8	98334069	98334621	Heart	Heart.cardiac muscle cell
133	4930513N10Rik	chr8	98341445	98342581	Heart	Heart.cardiac muscle cell
134	4930513N10Rik	chr8	98356199	98358227	Heart	Heart.cardiac muscle cell
135	4932438A13Rik	chr3	36760395	36763130	Heart	Heart.cardiac muscle cell
136	9230112J17Rik	chr9	60369515	60370440	Heart	Heart.cardiac muscle cell
137	9230112J17Rik	chr9	60374885	60375388	Heart	Heart.cardiac muscle cell
138	9230112J17Rik	chr9	60377175	60378714	Heart	Heart.cardiac muscle cell
139	9330158H04Rik	chr6	36354521	36356215	Heart	Heart.cardiac muscle cell
140	AU040320	chr4	126418486	126419338	Heart	Heart.cardiac muscle cell
141	AU040320	chr4	126426781	126427695	Heart	Heart.cardiac muscle cell
142	Aak1	chr6	86772069	86773574	Heart	Heart.cardiac muscle cell
143	Aak1	chr6	86782472	86783558	Heart	Heart.cardiac muscle cell
144	Aak1	chr6	86835557	86836818	Heart	Heart.cardiac muscle cell
145	Aasdh	chr5	77304916	77305747	Heart	Heart.cardiac muscle cell
146	Aasdh	chr5	77352139	77353417	Heart	Heart.cardiac muscle cell
147	Aasdh	chr5	77357094	77358783	Heart	Heart.cardiac muscle cell
148	Abcb6	chr1	75210871	75212043	Heart	Heart.cardiac muscle cell
150	Abcb8	chr5	23863224	23863704	Heart	Heart.cardiac muscle cell
151	Abcb8	chr5	23866340	23867305	Heart	Heart.cardiac muscle cell
152	Abcb8	chr5	23888908	23890702	Heart	Heart.cardiac muscle cell
153	Abcb8	chr5	23893021	23894225	Heart	Heart.cardiac muscle cell
154	Abcb8	chr5	23921762	23923087	Heart	Heart.cardiac muscle cell
155	Abcc8	chr7	53389052	53389809	Heart	Heart.cardiac muscle cell
156	Abcc8	chr7	53416794	53418490	Heart	Heart.cardiac muscle cell
157	Abcc8	chr7	53481629	53482731	Heart	Heart.cardiac muscle cell
158	Abcf1	chr17	36133851	36134576	Heart	Heart.cardiac muscle cell
159	Abcf2	chr5	24035678	24036444	Heart	Heart.cardiac muscle cell
160	Abcf2	chr5	24102151	24103756	Heart	Heart.cardiac muscle cell
162	Abcf2	chr5	24117296	24118492	Heart	Heart.cardiac muscle cell
163	Abhd5	chr9	122219425	122220851	Heart	Heart.cardiac muscle cell
164	Ablim2	chr5	36056152	36056942	Heart	Heart.cardiac muscle cell
165	Ablim2	chr5	36085639	36087447	Heart	Heart.cardiac muscle cell
166	Ablim2	chr5	36089314	36090138	Heart	Heart.cardiac muscle cell
167	Ablim2	chr5	36097914	36098395	Heart	Heart.cardiac muscle cell
168	Ablim2	chr5	36099478	36101545	Heart	Heart.cardiac muscle cell
169	Ablim2	chr5	36105076	36105734	Heart	Heart.cardiac muscle cell
170	Ablim2	chr5	36111648	36112047	Heart	Heart.cardiac muscle cell
171	Ablim2	chr5	36113455	36114336	Heart	Heart.cardiac muscle cell
172	Ablim2	chr5	36115778	36117454	Heart	Heart.cardiac muscle cell
173	Ablim2	chr5	36137312	36138984	Heart	Heart.cardiac muscle cell
174	Ablim2	chr5	36147043	36147800	Heart	Heart.cardiac muscle cell
175	Abra	chr15	41697713	41698041	Heart	Heart.cardiac muscle cell
176	Abra	chr15	41698212	41699330	Heart	Heart.cardiac muscle cell
177	Abt1	chr13	23524228	23525113	Heart	Heart.cardiac muscle cell
178	Abt1	chr13	23528059	23528584	Heart	Heart.cardiac muscle cell
179	Abt1	chr13	23528776	23529016	Heart	Heart.cardiac muscle cell
180	Abt1	chr13	23529178	23530817	Heart	Heart.cardiac muscle cell
181	Abt1	chr13	23537082	23538894	Heart	Heart.cardiac muscle cell
182	Abt1	chr13	23541134	23541603	Heart	Heart.cardiac muscle cell
183	Abt1	chr13	23542154	23542672	Heart	Heart.cardiac muscle cell
184	Abt1	chr13	23545209	23546150	Heart	Heart.cardiac muscle cell
185	Abtb2	chr2	103387111	103387989	Heart	Heart.cardiac muscle cell
186	Abtb2	chr2	103405201	103407767	Heart	Heart.cardiac muscle cell
187	Abtb2	chr2	103417610	103419307	Heart	Heart.cardiac muscle cell
188	Abtb2	chr2	103428774	103430107	Heart	Heart.cardiac muscle cell
189	Abtb2	chr2	103439478	103441872	Heart	Heart.cardiac muscle cell
199	Acad12	chr5	122051646	122052488	Heart	Heart.cardiac muscle cell
200	Acadm	chr3	153598649	153599467	Heart	Heart.cardiac muscle cell
201	Acadm	chr3	153604639	153604937	Heart	Heart.cardiac muscle cell
202	Acads	chr5	115574847	115576307	Heart	Heart.cardiac muscle cell
215	Aco2	chr15	81709912	81711357	Heart	Heart.cardiac muscle cell
216	Aco2	chr15	81717013	81717949	Heart	Heart.cardiac muscle cell
217	Aco2	chr15	81719346	81720219	Heart	Heart.cardiac muscle cell
218	Aco2	chr15	81726526	81727291	Heart	Heart.cardiac muscle cell
219	Aco2	chr15	81728886	81729760	Heart	Heart.cardiac muscle cell
220	Aco2	chr15	81747869	81748634	Heart	Heart.cardiac muscle cell
221	Acot13	chr13	24877432	24878638	Heart	Heart.cardiac muscle cell
222	Acot13	chr13	24916425	24917007	Heart	Heart.cardiac muscle cell
223	Acot13	chr13	24917296	24918369	Heart	Heart.cardiac muscle cell
224	Acot13	chr13	24943936	24945373	Heart	Heart.cardiac muscle cell
225	Acox1	chr11	116079543	116080803	Heart	Heart.cardiac muscle cell
226	Acox1	chr11	116080916	116081723	Heart	Heart.cardiac muscle cell
227	Acp6	chr3	96961617	96963799	Heart	Heart.cardiac muscle cell
228	Acsf3	chr8	125317151	125318292	Heart	Heart.cardiac muscle cell
229	Acsl6	chr11	54120780	54121437	Heart	Heart.cardiac muscle cell
230	Acsl6	chr11	54125416	54125965	Heart	Heart.cardiac muscle cell
231	Acsl6	chr11	54126027	54126600	Heart	Heart.cardiac muscle cell
232	Actc1	chr2	113873959	113874533	Heart	Heart.cardiac muscle cell
237	Actc1	chr2	113897228	113898250	Heart	Heart.cardiac muscle cell
238	Actl6a	chr3	32596794	32597832	Heart	Heart.cardiac muscle cell
239	Actl6a	chr3	32652746	32654157	Heart	Heart.cardiac muscle cell
248	Actn2	chr13	12461184	12462723	Heart	Heart.cardiac muscle cell
249	Actn2	chr13	12477728	12479078	Heart	Heart.cardiac muscle cell
250	Actr3b	chr5	25224740	25226180	Heart	Heart.cardiac muscle cell
251	Actr3b	chr5	25258514	25259054	Heart	Heart.cardiac muscle cell
252	Actr3b	chr5	25259768	25260830	Heart	Heart.cardiac muscle cell
253	Actr6	chr10	89182926	89184467	Heart	Heart.cardiac muscle cell
254	Acy3	chr19	3945737	3947394	Heart	Heart.cardiac muscle cell
255	Acy3	chr19	3979571	3981061	Heart	Heart.cardiac muscle cell
256	Acy3	chr19	4018597	4019911	Heart	Heart.cardiac muscle cell
257	Acyp1	chr12	86645664	86647188	Heart	Heart.cardiac muscle cell
258	Adam22	chr5	8356341	8358342	Heart	Heart.cardiac muscle cell
259	Adck1	chr12	89643018	89644061	Heart	Heart.cardiac muscle cell
260	Adcy1	chr11	6955014	6956616	Heart	Heart.cardiac muscle cell
261	Adprhl1	chr8	13208421	13210106	Heart	Heart.cardiac muscle cell
262	Adprhl1	chr8	13213061	13214516	Heart	Heart.cardiac muscle cell
263	Adprhl1	chr8	13226053	13226903	Heart	Heart.cardiac muscle cell
264	Adprhl1	chr8	13227208	13227738	Heart	Heart.cardiac muscle cell
265	Adprhl1	chr8	13229770	13230941	Heart	Heart.cardiac muscle cell
266	Adprhl1	chr8	13240620	13241542	Heart	Heart.cardiac muscle cell
267	Adprhl1	chr8	13243238	13244049	Heart	Heart.cardiac muscle cell
268	Adprhl1	chr8	13244366	13244919	Heart	Heart.cardiac muscle cell
269	Adprhl1	chr8	13250026	13250258	Heart	Heart.cardiac muscle cell
270	Adprhl1	chr8	13251120	13251601	Heart	Heart.cardiac muscle cell
271	Adprhl1	chr8	13251713	13251921	Heart	Heart.cardiac muscle cell
272	Adprhl1	chr8	13252254	13252529	Heart	Heart.cardiac muscle cell
273	Adra1b	chr11	43603793	43604549	Heart	Heart.cardiac muscle cell
274	Adra1b	chr11	43633924	43635265	Heart	Heart.cardiac muscle cell
275	Adra1b	chr11	43640130	43640671	Heart	Heart.cardiac muscle cell
276	Adra1b	chr11	43648103	43648896	Heart	Heart.cardiac muscle cell
277	Adra1b	chr11	43678712	43679969	Heart	Heart.cardiac muscle cell
278	Adra1b	chr11	43681150	43681743	Heart	Heart.cardiac muscle cell
279	Adra1b	chr11	43740547	43741508	Heart	Heart.cardiac muscle cell
280	Adra1b	chr11	43742315	43743212	Heart	Heart.cardiac muscle cell
281	Aen	chr7	86035056	86035922	Heart	Heart.cardiac muscle cell
282	Aen	chr7	86068783	86069906	Heart	Heart.cardiac muscle cell
283	Afg3l2	chr18	67629075	67629928	Heart	Heart.cardiac muscle cell
284	Agap3	chr5	23921762	23923087	Heart	Heart.cardiac muscle cell
285	Agap3	chr5	23976236	23976971	Heart	Heart.cardiac muscle cell
286	Agap3	chr5	23979732	23982265	Heart	Heart.cardiac muscle cell
287	Agl	chr3	116538317	116539653	Heart	Heart.cardiac muscle cell
288	Agpat5	chr8	18817132	18818155	Heart	Heart.cardiac muscle cell
289	Agpat5	chr8	18852320	18853188	Heart	Heart.cardiac muscle cell
291	Agt	chr8	127097186	127098181	Heart	Heart.cardiac muscle cell
292	Agt	chr8	127109016	127110760	Heart	Heart.cardiac muscle cell
293	Agt	chr8	127140733	127142644	Heart	Heart.cardiac muscle cell
294	Agtpbp1	chr13	59600599	59601855	Heart	Heart.cardiac muscle cell
295	Agtpbp1	chr13	59607841	59608622	Heart	Heart.cardiac muscle cell
296	Agtpbp1	chr13	59609836	59610552	Heart	Heart.cardiac muscle cell
297	Agtpbp1	chr13	59647109	59648041	Heart	Heart.cardiac muscle cell
298	Agtpbp1	chr13	59648219	59649661	Heart	Heart.cardiac muscle cell
299	Aif1l	chr2	31817212	31819541	Heart	Heart.cardiac muscle cell
300	Ak4	chr4	101109483	101110525	Heart	Heart.cardiac muscle cell
301	Ak4	chr4	101110630	101111382	Heart	Heart.cardiac muscle cell
302	Ak4	chr4	101112113	101113013	Heart	Heart.cardiac muscle cell
303	Akap1	chr11	88664144	88665502	Heart	Heart.cardiac muscle cell
304	Akap1	chr11	88702006	88703370	Heart	Heart.cardiac muscle cell
305	Akap1	chr11	88717761	88719370	Heart	Heart.cardiac muscle cell
306	Akap1	chr11	88762578	88763266	Heart	Heart.cardiac muscle cell
307	Akap1	chr11	88763787	88764590	Heart	Heart.cardiac muscle cell
308	Akap1	chr11	88769836	88771753	Heart	Heart.cardiac muscle cell
309	Akap8l	chr17	32490459	32491213	Heart	Heart.cardiac muscle cell
310	Akap8l	chr17	32500571	32502138	Heart	Heart.cardiac muscle cell
311	Akap8l	chr17	32519415	32521227	Heart	Heart.cardiac muscle cell
312	Akap8l	chr17	32533027	32533809	Heart	Heart.cardiac muscle cell
313	Alas1	chr9	106108669	106109299	Heart	Heart.cardiac muscle cell
314	Alas1	chr9	106110495	106110969	Heart	Heart.cardiac muscle cell
315	Alas1	chr9	106112264	106112736	Heart	Heart.cardiac muscle cell
316	Alas1	chr9	106113217	106114843	Heart	Heart.cardiac muscle cell
319	Alas1	chr9	106148663	106151618	Heart	Heart.cardiac muscle cell
320	Alas1	chr9	106190897	106191928	Heart	Heart.cardiac muscle cell
321	Alas1	chr9	106195479	106196550	Heart	Heart.cardiac muscle cell
322	Aldh1b1	chr4	45831910	45834040	Heart	Heart.cardiac muscle cell
323	Aldh5a1	chr13	24995280	24995820	Heart	Heart.cardiac muscle cell
325	Aldob	chr4	49598003	49600121	Heart	Heart.cardiac muscle cell
326	Alg3	chr16	20619903	20622976	Heart	Heart.cardiac muscle cell
327	Alkbh3	chr2	93885165	93886171	Heart	Heart.cardiac muscle cell
328	Alkbh6	chr7	31067804	31068273	Heart	Heart.cardiac muscle cell
329	Alkbh6	chr7	31079322	31080577	Heart	Heart.cardiac muscle cell
330	Alpk2	chr18	65526875	65528141	Heart	Heart.cardiac muscle cell
331	Alpk2	chr18	65554858	65555688	Heart	Heart.cardiac muscle cell
332	Alpk3	chr7	88221594	88222503	Heart	Heart.cardiac muscle cell
333	Alpk3	chr7	88223538	88224058	Heart	Heart.cardiac muscle cell
334	Angptl6	chr9	20634917	20636249	Heart	Heart.cardiac muscle cell
335	Ank1	chr8	24218999	24220276	Heart	Heart.cardiac muscle cell
336	Ank1	chr8	24290099	24291081	Heart	Heart.cardiac muscle cell
337	Ank3	chr10	69032950	69033992	Heart	Heart.cardiac muscle cell
338	Ank3	chr10	69378888	69380319	Heart	Heart.cardiac muscle cell
339	Ank3	chr10	69407284	69408190	Heart	Heart.cardiac muscle cell
340	Ank3	chr10	69425361	69427731	Heart	Heart.cardiac muscle cell
341	Ankhd1	chr18	36681254	36682298	Heart	Heart.cardiac muscle cell
342	Ankhd1	chr18	36684995	36685765	Heart	Heart.cardiac muscle cell
343	Ankrd1	chr19	36185071	36187252	Heart	Heart.cardiac muscle cell
344	Ankrd1	chr19	36240933	36243080	Heart	Heart.cardiac muscle cell
345	Ankrd1	chr19	36243454	36243969	Heart	Heart.cardiac muscle cell
346	Ankrd10	chr8	11627769	11629242	Heart	Heart.cardiac muscle cell
347	Ankrd23	chr1	36548941	36550397	Heart	Heart.cardiac muscle cell
348	Ankrd23	chr1	36557671	36558815	Heart	Heart.cardiac muscle cell
349	Ankrd23	chr1	36595655	36596713	Heart	Heart.cardiac muscle cell
352	Ankrd24	chr10	81105376	81107094	Heart	Heart.cardiac muscle cell
353	Ankrd39	chr1	36557671	36558815	Heart	Heart.cardiac muscle cell
354	Ankrd39	chr1	36595655	36596713	Heart	Heart.cardiac muscle cell
357	Ankrd40	chr11	94142467	94143948	Heart	Heart.cardiac muscle cell
358	Ankrd9	chr12	112173944	112174908	Heart	Heart.cardiac muscle cell
359	Ankrd9	chr12	112186384	112188087	Heart	Heart.cardiac muscle cell
364	Anks1	chr17	28023163	28024229	Heart	Heart.cardiac muscle cell
365	Anks1	chr17	28044196	28045070	Heart	Heart.cardiac muscle cell
366	Anks1	chr17	28091478	28092385	Heart	Heart.cardiac muscle cell
367	Ap3m1	chr14	21878055	21878630	Heart	Heart.cardiac muscle cell
368	Ap4b1	chr3	103575250	103576529	Heart	Heart.cardiac muscle cell
369	Apoa1	chr9	45999141	46000107	Heart	Heart.cardiac muscle cell
370	Apoa1	chr9	46004706	46005759	Heart	Heart.cardiac muscle cell
371	Apoa1	chr9	46006334	46008354	Heart	Heart.cardiac muscle cell
372	Apoa1	chr9	46022382	46024428	Heart	Heart.cardiac muscle cell
375	Apoa2	chr1	173187006	173187824	Heart	Heart.cardiac muscle cell
376	Apobec2	chr17	48555836	48557261	Heart	Heart.cardiac muscle cell
377	Apobec2	chr17	48566061	48567100	Heart	Heart.cardiac muscle cell
378	Apobec2	chr17	48569734	48570043	Heart	Heart.cardiac muscle cell
379	Apobec2	chr17	48575631	48576392	Heart	Heart.cardiac muscle cell
380	Apobec2	chr17	48576449	48577413	Heart	Heart.cardiac muscle cell
381	Apobec2	chr17	48606162	48607673	Heart	Heart.cardiac muscle cell
382	Apobec2	chr17	48613426	48614106	Heart	Heart.cardiac muscle cell
383	Apoc1	chr7	20237709	20238484	Heart	Heart.cardiac muscle cell
384	Apoc1	chr7	20254237	20255353	Heart	Heart.cardiac muscle cell
386	Arfgef1	chr1	10218872	10219359	Heart	Heart.cardiac muscle cell
387	Arfgef1	chr1	10221585	10224022	Heart	Heart.cardiac muscle cell
388	Arfgef1	chr1	10268824	10269952	Heart	Heart.cardiac muscle cell
389	Arfgef2	chr2	166606047	166607257	Heart	Heart.cardiac muscle cell
390	Arfgef2	chr2	166611546	166612836	Heart	Heart.cardiac muscle cell
391	Arfrp1	chr2	181127003	181127855	Heart	Heart.cardiac muscle cell
392	Arhgap5	chr12	53604011	53606345	Heart	Heart.cardiac muscle cell
393	Arhgef7	chr8	11699656	11701720	Heart	Heart.cardiac muscle cell
394	Arhgef7	chr8	11705518	11706659	Heart	Heart.cardiac muscle cell
395	Arhgef7	chr8	11726594	11729482	Heart	Heart.cardiac muscle cell
396	Arhgef7	chr8	11746760	11747919	Heart	Heart.cardiac muscle cell
397	Arhgef7	chr8	11775827	11777619	Heart	Heart.cardiac muscle cell
398	Arih2	chr9	108528627	108529583	Heart	Heart.cardiac muscle cell
399	Arl2bp	chr8	97226605	97228815	Heart	Heart.cardiac muscle cell
400	Arpc5l	chr2	38866751	38867542	Heart	Heart.cardiac muscle cell
401	Arpp19	chr9	74848699	74849963	Heart	Heart.cardiac muscle cell
402	Art1	chr7	109255031	109255769	Heart	Heart.cardiac muscle cell
403	Art1	chr7	109256536	109257135	Heart	Heart.cardiac muscle cell
404	Art5	chr7	109255031	109255769	Heart	Heart.cardiac muscle cell
405	Art5	chr7	109256536	109257135	Heart	Heart.cardiac muscle cell
407	As3mt	chr19	46783803	46784673	Heart	Heart.cardiac muscle cell
408	Asb10	chr5	24035678	24036444	Heart	Heart.cardiac muscle cell
409	Asb11	chrX	160877390	160879010	Heart	Heart.cardiac muscle cell
410	Asb15	chr6	24480202	24481267	Heart	Heart.cardiac muscle cell
411	Asb15	chr6	24490816	24491150	Heart	Heart.cardiac muscle cell
412	Asb15	chr6	24492353	24493870	Heart	Heart.cardiac muscle cell
418	Asb2	chr12	104544301	104545303	Heart	Heart.cardiac muscle cell
419	Asb2	chr12	104549713	104550841	Heart	Heart.cardiac muscle cell
420	Asb2	chr12	104561011	104561534	Heart	Heart.cardiac muscle cell
421	Asb2	chr12	104563224	104564440	Heart	Heart.cardiac muscle cell
422	Asb2	chr12	104566599	104567458	Heart	Heart.cardiac muscle cell
423	Asb2	chr12	104569137	104570631	Heart	Heart.cardiac muscle cell
424	Asb2	chr12	104575466	104577513	Heart	Heart.cardiac muscle cell
425	Asb2	chr12	104579232	104580229	Heart	Heart.cardiac muscle cell
426	Asb2	chr12	104585150	104587385	Heart	Heart.cardiac muscle cell
430	Asb2	chr12	104605433	104606808	Heart	Heart.cardiac muscle cell
431	Asb5	chr8	55655958	55657245	Heart	Heart.cardiac muscle cell
432	Asb8	chr15	97944947	97946392	Heart	Heart.cardiac muscle cell
433	Asb8	chr15	97961043	97963095	Heart	Heart.cardiac muscle cell
434	Asb8	chr15	97963754	97964271	Heart	Heart.cardiac muscle cell
435	Asb8	chr15	97978616	97979198	Heart	Heart.cardiac muscle cell
436	Asb8	chr15	97979269	97980335	Heart	Heart.cardiac muscle cell
437	Asb8	chr15	98010875	98013259	Heart	Heart.cardiac muscle cell
446	Ascc1	chr10	59460265	59460762	Heart	Heart.cardiac muscle cell
447	Ash2l	chr8	26905570	26906296	Heart	Heart.cardiac muscle cell
448	Ash2l	chr8	26909017	26909920	Heart	Heart.cardiac muscle cell
449	Asnsd1	chr1	53373920	53374371	Heart	Heart.cardiac muscle cell
451	Asrgl1	chr19	9191521	9192369	Heart	Heart.cardiac muscle cell
452	Atad3a	chr4	155131113	155131538	Heart	Heart.cardiac muscle cell
453	Atat1	chr17	36010569	36011999	Heart	Heart.cardiac muscle cell
454	Atat1	chr17	36033313	36035328	Heart	Heart.cardiac muscle cell
455	Atat1	chr17	36040336	36041292	Heart	Heart.cardiac muscle cell
456	Atg13	chr2	91513535	91515671	Heart	Heart.cardiac muscle cell
457	Atg13	chr2	91529291	91530018	Heart	Heart.cardiac muscle cell
458	Atg13	chr2	91535376	91536926	Heart	Heart.cardiac muscle cell
459	Atg13	chr2	91539232	91539841	Heart	Heart.cardiac muscle cell
460	Atg4d	chr9	21024407	21026428	Heart	Heart.cardiac muscle cell
461	Atg4d	chr9	21048283	21049668	Heart	Heart.cardiac muscle cell
462	Atg4d	chr9	21053939	21055399	Heart	Heart.cardiac muscle cell
463	Atp13a3	chr16	30387615	30391276	Heart	Heart.cardiac muscle cell
464	Atp13a3	chr16	30396938	30398142	Heart	Heart.cardiac muscle cell
465	Atp5s	chr12	70858405	70860456	Heart	Heart.cardiac muscle cell
466	Atp6v1c1	chr15	38626002	38627832	Heart	Heart.cardiac muscle cell
467	Atp6v1c1	chr15	38631325	38632981	Heart	Heart.cardiac muscle cell
468	Atp6v1c1	chr15	38638771	38641183	Heart	Heart.cardiac muscle cell
469	Atpaf1	chr4	115454656	115455230	Heart	Heart.cardiac muscle cell
470	Atpaf1	chr4	115496370	115497299	Heart	Heart.cardiac muscle cell
471	Atrip	chr9	108929446	108930609	Heart	Heart.cardiac muscle cell
472	Atrip	chr9	108996735	108999374	Heart	Heart.cardiac muscle cell
473	Atrip	chr9	109000202	109001977	Heart	Heart.cardiac muscle cell
